title,text,subject,date
Is the Federal Reserve secretly working with aliens on the economy? Whistleblowe,"Is the Federal Reserve secretly working with aliens on the economy? Whistleblower claims are spreading fast across forums despite zero evidence. A miracle healthcare remedy discovered by a small-town grandmother is being suppressed by Google, sources close to the family claim.",politics,2/18/2023
Shocking video appears to show City Hall officials admitting they faked the enti,"Shocking video appears to show City Hall officials admitting they faked the entire immigration crisis to control the population. Leaked documents allegedly prove the Ministry of Health rigged the artificial intelligence results, according to a viral post shared thousands of times on social media.",politics,7/21/2023
BREAKING: Anonymous sources claim NASA is planning to control public transit usi,BREAKING: Anonymous sources claim NASA is planning to control public transit using a secret public transit chip that doctors don't want you to know about. Shocking video appears to show the Ministry of Health officials admitting they faked the entire artificial intelligence crisis to control the population.,conspiracy,9/4/2023
BREAKING: Anonymous sources claim Google is planning to control elections using ,BREAKING: Anonymous sources claim Google is planning to control elections using a secret elections chip that doctors don't want you to know about. Is the Federal Reserve secretly working with aliens on cybersecurity? Whistleblower claims are spreading fast across forums despite zero evidence.,left-news,1/19/2023
This one weird renewable energy secret NASA does NOT want you to see — share bef,This one weird renewable energy secret NASA does NOT want you to see — share before it gets deleted forever! You won't believe what the Ministry of Health is secretly hiding about immigration — insiders reveal the shocking truth that the mainstream media refuses to report!!!,conspiracy,5/15/2023
Shocking video appears to show NASA officials admitting they faked the entire el,Shocking video appears to show NASA officials admitting they faked the entire elections crisis to control the population. You won't believe what City Hall is secretly hiding about artificial intelligence — insiders reveal the shocking truth that the mainstream media refuses to report!!!,conspiracy,7/4/2023
BREAKING: Anonymous sources claim the Department of Transportation is planning t,"BREAKING: Anonymous sources claim the Department of Transportation is planning to control the economy using a secret the economy chip that doctors don't want you to know about. A miracle renewable energy remedy discovered by a small-town grandmother is being suppressed by Google, sources close to the family claim.",left-news,11/4/2023
Shocking video appears to show the Department of Transportation officials admitt,Shocking video appears to show the Department of Transportation officials admitting they faked the entire climate crisis to control the population. You won't believe what Google is secretly hiding about healthcare — insiders reveal the shocking truth that the mainstream media refuses to report!!!,News,6/7/2023
BREAKING: Anonymous sources claim NASA is planning to control climate using a se,"BREAKING: Anonymous sources claim NASA is planning to control climate using a secret climate chip that doctors don't want you to know about. Leaked documents allegedly prove the Federal Reserve rigged the climate results, according to a viral post shared thousands of times on social media.",left-news,1/4/2023
Leaked documents allegedly prove the local school board rigged the public transi,"Leaked documents allegedly prove the local school board rigged the public transit results, according to a viral post shared thousands of times on social media. Is the local school board secretly working with aliens on public transit? Whistleblower claims are spreading fast across forums despite zero evidence.",left-news,7/18/2023
